,logFC,logCPM,LR,PValue,FDR,gene
11343,3.90915797991699,-0.281637298819851,182.958318210798,1.09528674514795e-41,1.79331298783073e-37,TERT
12189,-6.24552473893696,5.73469900342955,125.502111140513,3.95169383150615e-29,3.23505415516251e-25,KLK1
12136,-4.29776392273912,2.50877354623928,107.886265963491,2.84653010765189e-25,1.55354124841948e-21,GPD1
11949,-5.18934712975698,1.68853087571723,104.730701955464,1.39916175440448e-24,5.52468667706193e-21,PLIN1
10427,-4.37008526175408,2.27020768631132,104.359869234988,1.68713329171866e-24,5.52468667706193e-21,FNDC5
40494,-5.0825904919434,-0.417698743993348,101.683240260365,6.51492604064676e-24,1.77781473439182e-20,METTL21EP
22886,-5.51525799043887,0.196983575097501,101.007972373701,9.16139633202446e-24,2.14285060206052e-20,SMCO1
8020,-4.91763590334228,1.9277487350959,93.9631113494345,3.21459291569118e-22,6.57906622607646e-19,MYLK3
3543,-4.61258921408238,6.03299227870389,89.1590831406244,3.64306502757277e-21,6.62754485516099e-18,ENO3
1061,-5.68767032327235,5.99180880075279,88.3488936388009,5.48702874560136e-21,8.9839121651731e-18,PYGM
16324,-4.48038517795219,-0.115461822065982,85.3575367608168,2.49011059346426e-20,3.7064164315264e-17,FSD2
10647,-6.59982626444351,4.95139952865388,84.6049699231166,3.64348213014829e-20,4.9712277430765e-17,KRT84
13999,-4.16118492257261,-0.221209423802004,83.621784474314,5.99092418211125e-20,7.02631554547778e-17,KLHL38
6825,-4.70266190953652,0.86654678867059,83.6161691716183,6.00796540870268e-20,7.02631554547778e-17,PEBP4
12169,-3.60373012924937,3.34288185638102,83.0982677417727,7.80740762245892e-20,8.52204566683466e-17,PLIN4
7088,-4.63602490025526,1.80602017844716,82.0269678335104,1.34242451338795e-19,1.37371978485631e-16,PPP1R1A
17091,-5.05440270672041,6.34890937125613,80.2955499691149,3.22394310654653e-19,3.10503649902861e-16,ATP2A1
7304,-3.47285364422858,-0.84884709372295,79.0812459944167,5.96074908075223e-19,5.42196359439757e-16,SCN7A
3518,-2.88663640325453,-0.751271938448634,78.5769397096761,7.69423695941423e-19,6.63040745981522e-16,ASPA
6489,-4.31554969589327,3.25712148848927,76.4975487925776,2.20486488126802e-18,1.80501263505007e-15,CKMT2
49957,-3.65973919477898,-1.29597873539319,76.2104367729661,2.5499049312925e-18,1.98807587809772e-15,LRRC37A7P
17806,-3.77603138133182,2.35725741620636,74.8049988456652,5.19579823475482e-18,3.86685474989276e-15,PLN
2556,-4.09724914891747,4.42490617728394,74.3479515275355,6.54931894660182e-18,4.66226083098746e-15,MYOM1
5256,-4.64615889084054,5.05137572115495,74.0698747538732,7.54002628795862e-18,5.14386876719777e-15,LDB3
10171,-3.76422550979541,0.074875447676858,72.8510920609925,1.39810220043342e-17,9.15645093107855e-15,EXTL1
9237,-2.97055761627527,-0.116308088513747,72.5835151397035,1.60110916129985e-17,1.00826770376779e-14,SCN2B
10361,-5.16837398703318,6.05474982631644,72.4778495155616,1.6891729337873e-17,1.02432697944072e-14,TCHH
16477,-5.21627699741693,-0.0471904814638564,72.1075411357285,2.03783504271556e-17,1.15807107327945e-14,CIDEC
2039,-2.31052228379937,3.61755716769886,72.0946552983697,2.05118555702095e-17,1.15807107327945e-14,SORBS1
6374,-4.53972543394329,1.37220002532326,68.4233118849523,1.31908926021617e-16,7.19914948583977e-14,FBP2
1977,-2.81351897861302,1.0854740236603,67.4787122842219,2.1297424885976e-16,1.12484754083253e-13,CAPN3
415,-3.37865151167105,7.10933007226478,66.9672925302001,2.76049304808122e-16,1.41242352113231e-13,FHL1
384,-4.22275959590242,4.51976744914127,66.7938842809626,3.01431823638429e-16,1.49555856013091e-13,ATP1A2
15919,-6.34760447427589,5.42524183671061,66.3316450324488,3.81091099680499e-16,1.83517781619671e-13,KRT76
11327,-3.94850947963976,6.41598760198405,66.1890681568892,4.09678420322843e-16,1.91647565027026e-13,CMYA5
14392,-4.78081313239274,4.93568794578239,66.1059387100064,4.27326302277301e-16,1.94350376310729e-13,MYOZ1
7086,-5.78524068196557,0.736768641877425,65.7800107430664,5.0416991383312e-16,2.22252433737256e-13,KRT85
2494,-3.56312064896916,1.8410435007912,65.7349702745565,5.15824374397833e-16,2.22252433737256e-13,MYLK2
11392,-4.22707034754774,2.77745153319485,65.6696463133065,5.3320787350596e-16,2.23851602895207e-13,MYOZ3
58,-3.80307317618076,5.00290857197873,65.5847728701403,5.56672088351553e-16,2.27859802564499e-13,HSPB6
10517,-3.16710613222822,3.58971989758944,65.4398401619801,5.99153252501448e-16,2.39266736663566e-13,S100A1
15867,-4.39546522380549,-0.202151755736942,65.040335587858,7.3380558880795e-16,2.86061878703633e-13,CLCNKB
8362,-4.84616569297968,4.33714136815061,64.3061408326366,1.06513244013612e-15,4.05567754473226e-13,CASQ1
11155,-3.415015478565,1.74119536228959,64.2411498453719,1.10085328311658e-15,4.09642518283358e-13,LRRC2
17207,-4.37973693445741,2.79849317547677,63.8803407979289,1.32210414696256e-15,4.8104024884929e-13,ADH1B
10544,-5.04112225963099,3.74540434605998,63.0269863416836,2.03893809875484e-15,7.25728988932893e-13,MYL3
5267,-3.08932961356896,1.32158524449573,62.7584910157429,2.33672017615421e-15,8.07118565128202e-13,LRRC39
13136,-3.57278105855448,1.4473973115206,62.7338040898557,2.36619380236693e-15,8.07118565128202e-13,ANO5
16011,-2.65552736707247,2.24590631127408,62.6515529988506,2.46710346428549e-15,8.24365000423396e-13,SH3BGR
13013,-8.78939160359877,7.30471178476348,61.6878844065935,4.0244898909977e-15,1.31785945970611e-12,MUC7
49949,-5.13678653374107,0.814254371422954,61.2881466442054,4.93039724947216e-15,1.55321744050691e-12,MIR133A1HG
6751,-3.49630696255245,-1.21549939306572,61.2871246812562,4.93295711881508e-15,1.55321744050691e-12,LGALS12
10604,-2.64925224358251,3.18610496638721,61.145657644183,5.30045478261335e-15,1.63744049350431e-12,COX7A1
11470,-4.39526516414277,4.42225858194047,60.8832197673253,6.05628672595166e-15,1.82045761460034e-12,CA3
