"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","cell cycle","GO:0007049","6.242485972355779e-29","28.20464242488936","1774","570","141","21100","RMI2,CHTF18,E2F1,CENPJ,CHEK2,MYB,LIG1,PIDD1,CKS2,MEI1,EZH2,CENPH,TFAP4,XRCC3,PCNA,KNTC1,RAD54L,STAG3,TIMELESS,CCDC57,CEP131,MCM7,KIF22,HAUS5,ATF5,CROCC,DDX11,POLE,MCM8,TACC3,DBF4B,MCM3,PBK,HAUS1,GINS1,CDC45,RAD51C,MCM5,CHAF1A,SUV39H1,CDKN2A,KAT2A,TBCD,PSRC1,REC8,SPC24,CDKN2C,KRT18,PTTG1,RASSF1,CDC7,ASNS,NASP,CENPA,SKA1,DDIT3,CDCA3,TCIM,CDK5RAP3,AURKB,LIN9,HELLS,FEN1,MIS18A,CDC25A,PTPN6,STMN1,ITGB3BP,CIT,SYCP2,CHAF1B,CDT1,ZWINT,NUSAP1,HAUS8,DTL,CCNF,BRCA1,UBD,SPAG5,RNF212,GOLGA8B,RAD51AP1,ING4,BCL2,CKS1B,ING1,KIFC1,KIF15,RPA2,BLM,MCM2,NUF2,PHGDH,PPP1R35,MIIP,PIMREG,UBE2S,KIF18B,NDC80,NCAPD2,CDK1,BIRC3,PTCH1,GMNN,CENPW,CDC25B,CDCA2,KIF2C,ESCO2,CENPK,EXO1,BIRC5,CENPX,UHRF2,FANCI,E2F7,HJURP,LRRCC1,PKMYT1,CDC6,DSCC1,CUL9,WDR76,NEK2,BRCA2,EGFR,ORC1,PCLAF,KIF18A,MELK,FANCD2,TP73,TP53,SAPCD2,E2F2,CENPF,RUNX3,BRIP1,HLA-G,NUPR1"
"GO:BP","DNA metabolic process","GO:0006259","5.32133644040294e-27","26.27397928202785","1023","570","101","21100","RMI2,CHTF18,EXOSC5,CHEK2,LIG1,RNASEH2A,PAXX,NUDT1,POLD1,RECQL4,EZH2,XRCC3,PCNA,RAD54L,TIMELESS,MCM7,KIF22,ALKBH2,FANCG,XRCC1,DDX11,POLE,MCM8,DBF4B,FANCL,TYMS,RFC5,MCM3,FANCC,GINS1,HMGB2,RFC4,CDC45,RAD51C,MCM5,CHAF1A,KCTD13,CDKN2A,REC8,PARPBP,UBE2T,PTTG1,KMT5C,CDC7,NASP,PRIM1,TONSL,AURKB,LIN9,HELLS,FEN1,NTHL1,DNASE2,MIS18A,PARP10,CHAF1B,CDT1,DTL,BRCA1,ZBTB48,RNF212,IL27RA,TK1,RAD51AP1,ING4,RPA2,BLM,MCM2,POLA2,CDK1,GMNN,POLQ,ESCO2,EXO1,CENPX,UHRF2,FANCI,E2F7,GINS2,CDC6,GINS4,DSCC1,NEK2,APOBEC3G,BRCA2,EGFR,CCT6A,ORC1,PCLAF,BATF,FANCD2,CD40,APOBEC3B,TP73,TP53,CENPF,BRIP1,VEGFA,PARM1,GLI2,GZMA"
"GO:BP","cell cycle process","GO:0022402","4.62193827449508e-25","24.335175858775816","1206","570","107","21100","RMI2,E2F1,CENPJ,CHEK2,LIG1,PIDD1,CKS2,MEI1,EZH2,CENPH,TFAP4,XRCC3,PCNA,KNTC1,RAD54L,STAG3,TIMELESS,CCDC57,CEP131,KIF22,HAUS5,ATF5,CROCC,DDX11,POLE,TACC3,DBF4B,MCM3,HAUS1,GINS1,CDC45,RAD51C,CDKN2A,KAT2A,PSRC1,REC8,SPC24,CDKN2C,PTTG1,RASSF1,CDC7,NASP,CENPA,TCIM,CDK5RAP3,AURKB,FEN1,CDC25A,PTPN6,STMN1,CIT,SYCP2,CDT1,ZWINT,NUSAP1,HAUS8,DTL,CCNF,BRCA1,UBD,SPAG5,RNF212,GOLGA8B,RAD51AP1,ING4,BCL2,CKS1B,KIFC1,KIF15,RPA2,BLM,MCM2,NUF2,PHGDH,PPP1R35,MIIP,UBE2S,KIF18B,NDC80,NCAPD2,CDK1,GMNN,CDC25B,CDCA2,KIF2C,ESCO2,CENPK,CENPX,E2F7,PKMYT1,CDC6,DSCC1,CUL9,WDR76,NEK2,BRCA2,EGFR,ORC1,PCLAF,KIF18A,MELK,FANCD2,TP53,SAPCD2,CENPF,BRIP1,HLA-G"
"GO:BP","cellular response to DNA damage stimulus","GO:0006974","1.1283154743020117e-21","20.94756945567794","826","570","82","21100","RMI2,E2F1,CHEK2,LIG1,RNASEH2A,PIDD1,PAXX,NUDT1,POLD1,RECQL4,TFAP4,XRCC3,PCNA,RAD54L,TIMELESS,MCM7,KIF22,ALKBH2,FANCG,XRCC1,DDX11,POLE,MCM8,FANCL,CHCHD6,RFC5,MCM3,FANCC,HMGB2,RFC4,CDC45,RAD51C,MCM5,CHAF1A,SUV39H1,CDKN2A,REC8,PARPBP,UBE2T,PTTG1,KMT5C,RASSF1,CDC7,DDIT3,TONSL,CDK5RAP3,IRF3,FEN1,NTHL1,PARP10,CHAF1B,DTL,BRCA1,BCL2L12,RAD51AP1,ING4,BCL2,RPA2,BLM,MCM2,CDK1,POLQ,MIF,ESCO2,EXO1,CENPX,FANCI,E2F7,GINS2,GINS4,WDR76,BRCA2,EGFR,PCLAF,BATF,FANCD2,TP73,TP53,DDIT4,BCL2A1,BRIP1,NUPR1"
"GO:BP","mitotic cell cycle","GO:0000278","1.2383830142317235e-21","20.907145013440918","906","570","86","21100","E2F1,CENPJ,CHEK2,MYB,LIG1,PIDD1,CKS2,EZH2,CENPH,TFAP4,XRCC3,PCNA,KNTC1,CCDC57,KIF22,POLE,TACC3,DBF4B,MCM3,PBK,GINS1,CDC45,RAD51C,CDKN2A,TBCD,PSRC1,REC8,CDKN2C,PTTG1,CDC7,ASNS,NASP,CENPA,SKA1,CDK5RAP3,AURKB,CDC25A,PTPN6,STMN1,CIT,CDT1,ZWINT,NUSAP1,DTL,CCNF,BRCA1,UBD,SPAG5,BCL2,CKS1B,KIFC1,KIF15,RPA2,BLM,MCM2,NUF2,MIIP,UBE2S,KIF18B,NDC80,NCAPD2,CDK1,PTCH1,GMNN,CENPW,CDC25B,CDCA2,KIF2C,CENPK,BIRC5,E2F7,PKMYT1,CDC6,DSCC1,CUL9,NEK2,BRCA2,EGFR,ORC1,KIF18A,MELK,FANCD2,TP73,TP53,SAPCD2,CENPF"
"GO:BP","DNA replication","GO:0006260","8.547516545496116e-21","20.068160049863252","309","570","49","21100","RMI2,CHTF18,LIG1,RNASEH2A,POLD1,RECQL4,PCNA,TIMELESS,MCM7,DDX11,POLE,DBF4B,RFC5,MCM3,GINS1,RFC4,CDC45,MCM5,CHAF1A,KCTD13,CDC7,NASP,PRIM1,TONSL,FEN1,CHAF1B,CDT1,DTL,ING4,RPA2,BLM,MCM2,POLA2,CDK1,GMNN,POLQ,ESCO2,CENPX,E2F7,GINS2,CDC6,GINS4,DSCC1,BRCA2,EGFR,ORC1,PCLAF,TP53,GLI2"
"GO:BP","mitotic cell cycle process","GO:1903047","1.734754871202539e-20","19.760761884334343","755","570","76","21100","E2F1,CENPJ,CHEK2,LIG1,PIDD1,CKS2,EZH2,CENPH,TFAP4,XRCC3,PCNA,KNTC1,CCDC57,KIF22,POLE,TACC3,DBF4B,MCM3,GINS1,CDC45,RAD51C,CDKN2A,PSRC1,REC8,CDKN2C,PTTG1,CDC7,NASP,CENPA,CDK5RAP3,AURKB,CDC25A,PTPN6,STMN1,CIT,CDT1,ZWINT,NUSAP1,DTL,CCNF,BRCA1,UBD,SPAG5,BCL2,CKS1B,KIFC1,KIF15,RPA2,BLM,MCM2,NUF2,MIIP,UBE2S,KIF18B,NDC80,NCAPD2,CDK1,CDC25B,CDCA2,KIF2C,CENPK,E2F7,PKMYT1,CDC6,DSCC1,CUL9,NEK2,BRCA2,EGFR,ORC1,KIF18A,MELK,FANCD2,TP53,SAPCD2,CENPF"
"GO:BP","DNA repair","GO:0006281","2.1271673294651768e-19","18.67219834582596","537","570","62","21100","RMI2,CHEK2,LIG1,RNASEH2A,PAXX,NUDT1,POLD1,RECQL4,XRCC3,PCNA,RAD54L,TIMELESS,MCM7,KIF22,ALKBH2,FANCG,XRCC1,DDX11,POLE,MCM8,FANCL,RFC5,MCM3,FANCC,HMGB2,RFC4,CDC45,RAD51C,MCM5,CHAF1A,REC8,PARPBP,UBE2T,PTTG1,KMT5C,CDC7,TONSL,FEN1,NTHL1,PARP10,CHAF1B,DTL,BRCA1,RAD51AP1,RPA2,BLM,MCM2,CDK1,POLQ,ESCO2,EXO1,CENPX,FANCI,GINS2,GINS4,BRCA2,EGFR,PCLAF,FANCD2,TP73,TP53,BRIP1"
"GO:BP","chromosome organization","GO:0051276","2.200339070079833e-17","16.657510389669593","1059","570","86","21100","RMI2,CHTF18,MYB,ASF1B,RECQL4,EZH2,CENPH,XRCC3,PCNA,KNTC1,RAD54L,STAG3,MCM7,KIF22,XRCC1,DDX11,MCM8,TACC3,RFC5,MCM3,GINS1,HMGB2,RFC4,CDC45,PABPC1L,RCCD1,RAD51C,MCM5,CHAF1A,SUV39H1,KAT2A,PSRC1,REC8,PTTG1,KMT5C,NASP,CENPA,AURKB,HELLS,FEN1,MIS18A,ITGB3BP,SYCP2,PARP10,CHAF1B,CDT1,ZWINT,NUSAP1,BRCA1,ZBTB48,SPAG5,RNF212,ING4,ING1,KIFC1,RPA2,ESR1,BLM,MCM2,NUF2,KIF18B,NDC80,NCAPD2,CDK1,CENPW,KIF2C,POLQ,ESCO2,CENPK,EXO1,CENPX,GINS2,HJURP,CDC6,GINS4,DSCC1,NEK2,BRCA2,CCT6A,KIF18A,FANCD2,TP53,CENPF,HLTF,CBX2,BRIP1"
"GO:BP","DNA-templated DNA replication","GO:0006261","4.571603732818869e-16","15.339931421345126","186","570","34","21100","CHTF18,LIG1,POLD1,RECQL4,PCNA,TIMELESS,MCM7,DDX11,POLE,DBF4B,RFC5,MCM3,GINS1,RFC4,CDC45,MCM5,CDC7,PRIM1,TONSL,FEN1,CDT1,BLM,MCM2,POLA2,GMNN,POLQ,CENPX,E2F7,GINS2,CDC6,GINS4,DSCC1,BRCA2,ORC1"
