id	cancer	TLS score
TCGA.OR.A5J1.01A	ACC	-0.10419991
TCGA.OR.A5J2.01A	ACC	0.078624167
TCGA.OR.A5J3.01A	ACC	-0.175827124
TCGA.OR.A5J5.01A	ACC	-0.264973106
TCGA.OR.A5J6.01A	ACC	-0.019790632
TCGA.OR.A5J7.01A	ACC	-0.101446489
TCGA.OR.A5J8.01A	ACC	0.439217915
TCGA.OR.A5J9.01A	ACC	-0.166603223
TCGA.OR.A5JA.01A	ACC	-0.123680204
TCGA.OR.A5JB.01A	ACC	0.357025097
TCGA.OR.A5JC.01A	ACC	0.068605841
TCGA.OR.A5JD.01A	ACC	0.126130718
TCGA.OR.A5JE.01A	ACC	0.044218389
TCGA.OR.A5JF.01A	ACC	-0.10090573
TCGA.OR.A5JG.01A	ACC	0.038363649
TCGA.OR.A5JI.01A	ACC	0.138929043
TCGA.OR.A5JJ.01A	ACC	-0.003511451
TCGA.OR.A5JK.01A	ACC	0.313930783
TCGA.OR.A5JL.01A	ACC	-0.015936636
TCGA.OR.A5JM.01A	ACC	-0.152395977
TCGA.OR.A5JO.01A	ACC	0.334818481
TCGA.OR.A5JP.01A	ACC	-0.005098427
TCGA.OR.A5JQ.01A	ACC	0.243646722
TCGA.OR.A5JR.01A	ACC	-0.013702401
TCGA.OR.A5JS.01A	ACC	-0.064911079
TCGA.OR.A5JT.01A	ACC	-0.072519889
TCGA.OR.A5JV.01A	ACC	0.068433327
TCGA.OR.A5JW.01A	ACC	-0.17708075
TCGA.OR.A5JX.01A	ACC	-0.132347417
TCGA.OR.A5JY.01A	ACC	-0.098429712
TCGA.OR.A5JZ.01A	ACC	-0.077140194
TCGA.OR.A5K0.01A	ACC	-0.111365209
TCGA.OR.A5K1.01A	ACC	0.079923673
TCGA.OR.A5K2.01A	ACC	0.020553193
TCGA.OR.A5K3.01A	ACC	0.003806133
TCGA.OR.A5K4.01A	ACC	-0.125307933
TCGA.OR.A5K5.01A	ACC	-0.14300982
TCGA.OR.A5K6.01A	ACC	0.036818259
TCGA.OR.A5K8.01A	ACC	-0.0347617
TCGA.OR.A5K9.01A	ACC	-0.156081329
TCGA.OR.A5KO.01A	ACC	-0.185347971
TCGA.OR.A5KT.01A	ACC	0.170035155
TCGA.OR.A5KU.01A	ACC	-0.186839406
TCGA.OR.A5KV.01A	ACC	-0.216225221
TCGA.OR.A5KW.01A	ACC	-0.070236369
TCGA.OR.A5KX.01A	ACC	-0.194222438
TCGA.OR.A5KY.01A	ACC	-0.00474097
TCGA.OR.A5KZ.01A	ACC	-0.02636967
TCGA.OR.A5L3.01A	ACC	-0.034990536
TCGA.OR.A5L4.01A	ACC	-0.020873777
TCGA.OR.A5L5.01A	ACC	0.219803973
TCGA.OR.A5L6.01A	ACC	-0.005125314
TCGA.OR.A5L8.01A	ACC	-0.176143858
TCGA.OR.A5L9.01A	ACC	0.215206533
TCGA.OR.A5LA.01A	ACC	0.180212749
TCGA.OR.A5LB.01A	ACC	-0.193057936
TCGA.OR.A5LC.01A	ACC	-0.034587835
TCGA.OR.A5LD.01A	ACC	-0.16253267
TCGA.OR.A5LE.01A	ACC	-0.141779254
TCGA.OR.A5LG.01A	ACC	-0.009280168
TCGA.OR.A5LH.01A	ACC	0.140305832
TCGA.OR.A5LJ.01A	ACC	0.04592398
TCGA.OR.A5LK.01A	ACC	0.177249256
TCGA.OR.A5LL.01A	ACC	-0.099942218
TCGA.OR.A5LM.01A	ACC	-0.103049176
TCGA.OR.A5LN.01A	ACC	0.106441355
TCGA.OR.A5LO.01A	ACC	-0.23547402
TCGA.OR.A5LP.01A	ACC	0.076161322
TCGA.OR.A5LR.01A	ACC	0.047669011
